Time	R_GnRH-a	R_GnRH-i	Ant_c	GnRH_R-i	Ago_R-i	GnRH	Ago_c	LH_bld	AF3	FSH_bld	AF4	InhB	LH_Pit	Lut1	Lut3	OvF	P4	R_FSH_des	R_Foll	AF1	R_LH_des	Sc1	InhA_delay	FSH_pit	E2	Ant_R	PrF	GnRH_R-a	InhA	Lut4	Ago_R-a	FSH_R	R_LH	AF2	Ant_p	Sc2	Ant_d	Ago_d	Lut2	R_FSH	LH_R	Values[freq]	Values[mass]
0	0.00928	0.0009409	0	1.294e-05	0	0.00326	0	2.667	0.504	4.1	1.604e-05	52.18	261119	2.762e-05	0.00334	7.652e-19	2.41	1.497	0.119	2.26	0.699	1.098e-08	86.84	48627.2	45	0	0.244	1.447e-05	1.07	0.01385	0	0.662	8.41	19.92	0	2.171e-06	0	0	0.0003772	6.341	0.263	3.17876	0.00120799
1	0.00925426	0.000948851	0	2.36018e-05	-3.63712e-26	0.00597121	-1.39534e-24	2.70531	0.549277	4.83849	1.80873e-05	57.4437	263825	1.17688e-05	0.00196312	1.02809e-18	1.67491	1.6911	0.148384	2.45161	0.706168	3.23967e-09	74.8761	55608.6	37.8029	0	0.24407	2.64032e-05	0.854923	0.00924071	-7.04543e-26	0.74767	8.40025	21.9515	0	8.37349e-07	0	0	0.000188406	6.06123	0.26558	5.42714	0.00129309
2	0.00920836	0.000961568	0	4.10909e-05	-3.28446e-26	0.0104207	-1.00916e-23	2.74863	0.605456	5.68791	2.09979e-05	63.7179	267158	4.98154e-06	0.00114035	1.54439e-18	1.1659	1.89294	0.207575	2.54555	0.716175	9.55876e-10	64.3915	60646	33.3712	0	0.244176	4.58557e-05	0.71374	0.00606642	-2.94569e-26	0.836789	8.38645	24.3718	0	3.22553e-07	0	0	9.32511e-05	5.77027	0.269376	8.23057	0.0013753
3	0.00914601	0.000978067	0	6.39441e-05	1.74366e-25	0.0162654	2.38581e-23	2.86323	0.676794	6.66517	2.68372e-05	70.8383	271034	2.09652e-06	0.000655901	3.06201e-18	0.82145	2.10252	0.336054	2.55022	0.742215	2.82035e-10	55.3558	62353	31.0565	0	0.244378	7.11052e-05	0.622475	0.00392774	2.84379e-25	0.929291	8.35045	27.1178	0	1.2413e-07	0	0	4.57991e-05	5.46819	0.279339	10.8947	0.00142992
4	0.00908026	0.000995007	0	8.74595e-05	5.5468e-27	0.0223254	3.01064e-24	3.22452	0.771948	7.64701	4.61055e-05	78.5735	275284	8.77788e-07	0.000374083	8.77871e-18	0.592717	2.29291	0.519966	2.49349	0.823225	8.32154e-11	47.6661	61351.9	30.5643	0	0.244895	9.69144e-05	0.564349	0.00251269	1.2913e-26	1.01296	8.23855	30.0999	0	4.77342e-08	0	0	2.23438e-05	5.19413	0.310222	12.8621	0.00144274
5	0.00902531	0.00100879	0	0.000106637	-3.39649e-26	0.027303	-1.05267e-23	3.95469	0.912903	8.29977	0.000111501	86.5632	279648	3.65715e-07	0.000211777	3.75598e-17	0.443192	2.41027	0.72651	2.42287	0.982084	2.4553e-11	41.1843	58699.9	31.9591	0	0.246774	0.000117824	0.528235	0.00159049	-1.88404e-26	1.06409	8.01963	33.1793	0	1.83458e-08	0	0	1.08354e-05	5.02564	0.370287	14.0795	0.00140755
6	0.00898898	0.0010175	0	0.000118836	-5.61498e-24	0.0304797	-1.70732e-22	4.79276	1.15196	8.4217	0.000272583	94.3793	283907	1.51658e-07	0.00011911	1.73882e-16	0.346754	2.43255	0.940204	2.38095	1.15603	7.24442e-12	35.7646	55212.2	35.3415	0	0.254254	0.00013102	0.508194	0.000997304	8.81447e-23	1.07325	7.78046	36.1908	0	7.04784e-09	0	0	5.226e-06	4.9942	0.435512	14.767	0.00133543
7	0.00897104	0.00102129	0	0.0001243	-9.45385e-26	0.0318973	-4.62946e-25	5.33248	1.549	8.09037	0.000524944	101.684	288032	6.2636e-08	6.66187e-05	8.41278e-16	0.2853	2.37641	1.15595	2.38051	1.26374	2.13748e-12	31.275	51458.5	40.5942	0	0.276966	0.000136851	0.503687	0.000620225	8.32596e-27	1.04803	7.63271	39.0046	0	2.70664e-09	0	0	2.50885e-06	5.07556	0.475555	15.144	0.00125386
8	0.00896567	0.00102175	0	0.000125224	8.32712e-25	0.0321292	2.49532e-23	5.49606	2.10724	7.52143	0.000790545	108.375	292129	2.57853e-08	3.7091e-05	5.57993e-15	0.246556	2.27426	1.37196	2.41197	1.29614	6.3067e-13	27.613	47780.7	47.17	0	0.325046	0.000137769	0.517093	0.000383007	-5.77018e-24	1.00274	7.58844	41.5822	0	1.03918e-09	0	0	1.19996e-06	5.22301	0.487421	15.3519	0.00119161
9	0.00896566	0.0010208	0	0.000124254	-5.3604e-24	0.0318747	-7.63435e-23	5.47975	2.78496	6.90596	0.00103562	114.511	296281	1.05873e-08	2.05746e-05	5.40747e-14	0.222354	2.15635	1.58738	2.45869	1.29325	1.86081e-13	24.7019	44330.5	54.5041	0	0.40356	0.000136678	0.549634	0.000235089	1.09969e-22	0.950677	7.59249	43.9458	0	3.98906e-10	0	0	5.72225e-07	5.39298	0.48626	15.4689	0.00116102
