,GnRH,FSH,LH,Foll,CL,P4,E2,Inh,PGF,IOF
Ob_01,0,1,0,1,0,0,1,0,0,1
Ob_02,0,1,0,1,0,0,1,0,0,0
Ob_03,0,1,0,1,0,0,1,1,0,0
Ob_04,1,1,0,1,0,0,1,1,0,0
Ob_05,1,1,1,1,0,0,1,1,0,0
Ob_06,1,0,1,1,0,0,1,1,0,0
Ob_07,1,0,1,1,1,0,1,1,0,0
Ob_08,1,0,0,0,1,0,1,1,0,0
Ob_09,1,0,0,0,1,1,1,1,0,0
Ob_10,0,0,0,0,1,1,0,1,0,0
Ob_11,0,0,0,0,1,1,0,0,0,0
Ob_12,0,1,0,0,1,1,0,0,0,0
Ob_13,0,1,0,1,1,1,0,0,0,0
Ob_14,0,1,0,1,1,1,0,0,1,0
Ob_15,0,1,0,1,1,1,1,0,1,0
Ob_16,0,1,0,1,1,1,1,1,1,0
Ob_17,0,0,0,1,1,1,1,1,1,1
Ob_18,0,0,0,0,0,1,1,1,1,1
Ob_19,0,0,0,0,0,1,0,1,1,1
Ob_20,0,0,0,0,0,0,0,1,1,1
Ob_21,0,0,0,0,0,0,0,0,1,1
Ob_22,0,1,0,0,0,0,0,0,1,1
Ob_23,0,1,0,0,0,0,0,0,0,1
Ob_24,0,1,0,1,0,0,0,0,0,1
Ob_25,0,1,0,1,0,0,0,0,0,0
Ob_26,0,1,0,1,0,0,1,0,0,0
Ob_27,0,1,0,1,0,0,1,1,0,0
Ob_28,1,1,1,1,0,0,1,1,0,0
Ob_29,1,0,1,1,0,0,1,1,0,0
Ob_30,1,0,1,1,1,0,1,1,0,0
Ob_31,1,0,0,1,1,0,1,1,0,0
Ob_32,1,0,0,0,1,0,1,1,0,0
Ob_33,1,0,0,0,1,1,1,1,0,0
Ob_34,0,0,0,0,1,1,1,1,0,0
Ob_35,0,0,0,0,1,1,0,1,0,0
Ob_36,0,0,0,0,1,1,0,0,0,0
Ob_37,0,1,0,0,1,1,0,0,0,0
Ob_38,0,1,0,1,1,1,0,0,0,0
Ob_39,0,1,0,1,1,1,0,0,1,0
Ob_40,0,1,0,1,1,1,1,0,1,0
Ob_41,0,1,0,1,1,1,1,1,1,0
Ob_42,0,1,0,1,1,1,1,1,1,1
Ob_43,0,0,0,1,1,1,1,1,1,1
Ob_44,0,0,0,1,0,1,1,1,1,1
Ob_45,0,0,0,0,0,1,1,1,1,1
Ob_46,0,0,0,0,0,0,1,1,1,1
Ob_47,0,0,0,0,0,0,0,1,1,1
Ob_48,0,0,0,0,0,0,0,0,1,1
Ob_49,0,0,0,0,0,0,0,0,0,1
Ob_50,0,1,0,0,0,0,0,0,0,1
Ob_51,0,1,0,1,0,0,0,0,0,1
Ob_52,0,1,0,1,0,0,0,0,0,0
Ob_53,0,1,0,1,0,0,1,0,0,0
Ob_54,0,1,0,1,0,0,1,1,0,0
Ob_55,1,1,0,1,0,0,1,1,0,0
Ob_56,1,1,1,1,0,0,1,1,0,0
Ob_57,1,0,1,1,0,0,1,1,0,0
Ob_58,1,0,1,1,1,0,1,1,0,0
Ob_59,1,0,0,0,1,0,1,1,0,0
Ob_60,1,0,0,0,1,1,1,1,0,0
Ob_61,0,0,0,0,1,1,1,1,0,0
Ob_62,0,0,0,0,1,1,0,1,0,0
Ob_63,0,0,0,0,1,1,0,0,0,0
Ob_64,0,1,0,0,1,1,0,0,0,0
Ob_65,0,1,0,1,1,1,0,0,0,0
Ob_66,0,1,0,1,1,1,0,0,1,0
Ob_67,0,1,0,1,1,1,1,0,1,0
Ob_68,0,1,0,1,1,1,1,1,1,0
Ob_69,0,1,0,1,1,1,1,1,1,1
Ob_70,0,0,0,1,1,1,1,1,1,1
Ob_71,0,0,0,1,0,1,1,1,1,1
Ob_72,0,0,0,0,0,1,1,1,1,1
Ob_73,0,0,0,0,0,0,0,1,1,1
Ob_74,0,0,0,0,0,0,0,0,1,1
Ob_75,0,0,0,0,0,0,0,0,0,1
Ob_76,0,1,0,0,0,0,0,0,0,1
Ob_77,0,1,0,1,0,0,0,0,0,1
Ob_78,0,1,0,1,0,0,0,0,0,0
Ob_79,0,1,0,1,0,0,1,0,0,0
Ob_80,0,1,0,1,0,0,1,1,0,0
