Time	R_GnRH_a	R_GnRH_i	GnRH_R_i	GnRH	LH_bld	AF3	FSH_bld	AF4	InhB	LH_Pit	Lut1	Lut3	OvF	P4	R_FSH_des	R_Foll	AF1	R_LH_des	Sc1	InhA_delay	FSH_pit	E2	PrF	GnRH_R_a	InhA	Lut4	FSH_R	R_LH	AF2	Sc2	Lut2	R_FSH	LH_R	freq	mass
0	0.00928	0.0009409	1.294E-05	0.00326	2.667	0.504	4.1	1.604E-05	52.18	261119	2.762E-05	0.00334	7.652E-19	2.41	1.497	0.119	2.26	0.699	1.098E-08	86.84	48627.2	45	0.244	1.447E-05	1.07	0.01385	0.662	8.41	19.92	2.171E-06	0.0003772	6.341	0.263	3.17876	0.00120799
1	0.00925426	0.000948851	2.36018E-05	0.00597121	2.70531	0.549277	4.83849	1.80873E-05	57.4437	263825	1.17688E-05	0.00196312	1.02809E-18	1.67491	1.6911	0.148384	2.45161	0.706168	3.23967E-09	74.8761	55608.6	37.8029	0.24407	2.64032E-05	0.854923	0.00924071	0.74767	8.40025	21.9515	8.37349E-07	0.000188406	6.06123	0.26558	5.42714	0.00129309
2	0.00920836	0.000961568	4.10909E-05	0.0104207	2.74863	0.605456	5.68791	2.09979E-05	63.7179	267158	4.98154E-06	0.00114035	1.54439E-18	1.1659	1.89294	0.207575	2.54555	0.716175	9.55876E-10	64.3915	60646	33.3712	0.244176	4.58557E-05	0.71374	0.00606642	0.836789	8.38645	24.3718	3.22553E-07	9.32511E-05	5.77027	0.269376	8.23057	0.0013753
3	0.00914601	0.000978067	6.39441E-05	0.0162654	2.86323	0.676794	6.66517	2.68372E-05	70.8383	271034	2.09652E-06	0.000655901	3.06201E-18	0.82145	2.10252	0.336054	2.55022	0.742215	2.82035E-10	55.3558	62353	31.0565	0.244378	7.11052E-05	0.622475	0.00392774	0.929291	8.35045	27.1178	1.2413E-07	4.57991E-05	5.46819	0.279339	10.8947	0.00142992
4	0.00908026	0.000995007	8.74595E-05	0.0223254	3.22452	0.771948	7.64701	4.61055E-05	78.5735	275284	8.77788E-07	0.000374083	8.77871E-18	0.592717	2.29291	0.519966	2.49349	0.823225	8.32154E-11	47.6661	61351.9	30.5643	0.244895	9.69144E-05	0.564349	0.00251269	1.01296	8.23855	30.0999	4.77342E-08	2.23438E-05	5.19413	0.310222	12.8621	0.00144274
5	0.00902531	0.00100879	0.000106637	0.027303	3.95469	0.912903	8.29977	0.000111501	86.5632	279648	3.65715E-07	0.000211777	3.75598E-17	0.443192	2.41027	0.72651	2.42287	0.982084	2.4553E-11	41.1843	58699.9	31.9591	0.246774	0.000117824	0.528235	0.00159049	1.06409	8.01963	33.1793	1.83458E-08	1.08354E-05	5.02564	0.370287	14.0795	0.00140755
6	0.00898898	0.0010175	0.000118836	0.0304797	4.79276	1.15196	8.4217	0.000272583	94.3793	283907	1.51658E-07	0.00011911	1.73882E-16	0.346754	2.43255	0.940204	2.38095	1.15603	7.24442E-12	35.7646	55212.2	35.3415	0.254254	0.00013102	0.508194	0.000997304	1.07325	7.78046	36.1908	7.04784E-09	5.226E-06	4.9942	0.435512	14.767	0.00133543
7	0.00897104	0.00102129	0.0001243	0.0318973	5.33248	1.549	8.09037	0.000524944	101.684	288032	6.2636E-08	6.66187E-05	8.41278E-16	0.2853	2.37641	1.15595	2.38051	1.26374	2.13748E-12	31.275	51458.5	40.5942	0.276966	0.000136851	0.503687	0.000620225	1.04803	7.63271	39.0046	2.70664E-09	2.50885E-06	5.07556	0.475555	15.144	0.00125386
8	0.00896567	0.00102175	0.000125224	0.0321292	5.49606	2.10724	7.52143	0.000790545	108.375	292129	2.57853E-08	3.7091E-05	5.57993E-15	0.246556	2.27426	1.37196	2.41197	1.29614	6.3067E-13	27.613	47780.7	47.17	0.325046	0.000137769	0.517093	0.000383007	1.00274	7.58844	41.5822	1.03918E-09	1.19996E-06	5.22301	0.487421	15.3519	0.00119161
9	0.00896566	0.0010208	0.000124254	0.0318747	5.47975	2.78496	6.90596	0.00103562	114.511	296281	1.05873E-08	2.05746E-05	5.40747E-14	0.222354	2.15635	1.58738	2.45869	1.29325	1.86081E-13	24.7019	44330.5	54.5041	0.40356	0.000136678	0.549634	0.000235089	0.950677	7.59249	43.9458	3.98906E-10	5.72225E-07	5.39298	0.48626	15.4689	0.00116102
10	0.00896546	0.00101989	0.000123377	0.0316567	5.47614	3.55285	6.34828	0.00131774	120.123	300492	4.33716E-09	1.13773E-05	7.29496E-13	0.207351	2.04243	1.80149	2.50635	1.2923	5.49037E-14	22.4825	41140.5	62.724	0.518281	0.000135739	0.602637	0.000143533	0.900485	7.59371	46.1074	1.53103E-10	2.72202E-07	5.55709	0.485986	15.5362	0.00116285
11	0.00896118	0.00102	0.000123964	0.0318388	5.617	4.4152	5.89266	0.0017757	125.13	304709	1.77294E-09	6.27428E-06	1.50618E-11	0.198111	1.94389	2.01369	2.54619	1.31843	1.61995E-14	20.9207	38185.7	72.8346	0.687811	0.000136451	0.683088	8.72181E-05	0.857149	7.55754	48.0353	5.87551E-11	1.292E-07	5.69896	0.49603	15.5757	0.00120381
12	0.008948	0.00102227	0.000127662	0.032871	6.09995	5.42338	5.57468	0.00283392	129.234	308818	7.23148E-10	3.4515E-06	7.29236E-10	0.192452	1.87172	2.22364	2.57438	1.40679	4.7797E-15	20.044	35412.4	87.6934	0.972742	0.000140659	0.815525	5.2768E-05	0.825556	7.43542	49.6145	2.2546E-11	6.11969E-08	5.80272	0.529781	15.6004	0.00131868
13	0.00891152	0.00103008	0.000139448	0.0361619	7.83752	6.76146	5.52252	0.00762006	131.16	312535	2.94157E-10	1.89372E-06	4.75214E-07	0.189003	1.85793	2.43201	2.59001	1.70069	1.41026E-15	20.0946	32725.2	120.381	1.68565	0.000154084	1.11394	3.17886E-05	0.8202	7.02869	50.3474	8.65093E-12	2.89171E-08	5.82187	0.642619	15.6502	0.00170183
14	0.00854015	0.00111442	0.000268449	0.0750774	79.5444	1.6844	8.62459	0.177666	86.9393	313226	0.00153716	3.69789E-06	0.135359	0.186898	2.44914	2.64381	2.54119	5.23499	0.210896	24.2873	29190	430.802	2.74831	0.00030605	4.07535	1.89271E-05	1.08869	2.14758	25.6917	0.0247511	7.94203E-05	4.96217	1.98943	31.2233	0.00455803
15	0.00839442	0.00115695	0.000315542	0.0856208	93.8633	0.0431402	7.68688	0.00510142	143.129	279486	0.0810869	0.0111848	7.8825E-07	0.375033	2.31203	2.86015	2.38916	5.45778	0.129259	40.5195	24008.9	59.4233	0.0586878	0.000343927	5.95227	0.00224488	1.01617	1.86586	0.734071	0.180665	0.0368275	5.1718	2.04835	14.5763	0.0011582
16	0.00866248	0.00108431	0.000216115	0.0566316	30.5255	0.0900818	5.46543	0.00265594	99.1461	260255	0.119185	0.0479474	3.94216E-12	2.10084	1.85111	1.9126	2.49584	3.88717	0.0381383	61.8571	22942.8	77.6249	0.134586	0.00023479	8.7725	0.0165274	0.814596	4.03834	1.1344	0.122538	0.0920151	5.8343	1.44649	3.93621	0.00123479
17	0.00889206	0.00102322	0.000132526	0.0337605	5.40848	0.19412	4.4751	7.92401E-05	57.7897	257158	0.100051	0.0877445	1.08545E-16	5.72779	1.60601	0.617058	2.56174	1.30316	0.0112528	89.4461	28220.4	110.458	0.209833	0.000143694	10.8431	0.0430112	0.707133	7.58649	3.18975	0.062714	0.11562	6.18686	0.482349	0.673432	0.00157327
18	0.00904386	0.000983589	7.82142E-05	0.0195794	2.83586	0.214482	3.71457	9.31213E-06	36.5541	257244	0.0654092	0.111499	6.44853E-19	10.217	1.39774	0.257858	2.54947	0.73904	0.00332017	117.229	32994.3	148.776	0.210326	8.47599E-05	11.5186	0.0732971	0.61542	8.35577	5.25044	0.0286922	0.106475	6.48684	0.277194	0.221982	0.00209415
19	0.00913707	0.000960108	4.5744E-05	0.0113339	2.65172	0.230921	3.22478	7.29201E-06	28.4157	257417	0.0373564	0.113434	2.19693E-19	13.9324	1.25129	0.145084	2.46986	0.693899	0.000979626	140.303	34592.5	181.079	0.210371	4.95709E-05	11.0823	0.0963861	0.551401	8.41722	7.03018	0.0123741	0.0815834	6.69731	0.260878	0.132535	0.0025404
20	0.00919358	0.00094673	2.69182E-05	0.0066311	2.64151	0.246848	2.98591	7.5985E-06	26.8513	257656	0.0196457	0.0995426	1.46814E-19	15.803	1.17618	0.101248	2.36906	0.691345	0.000289041	155.818	34655.8	196.159	0.210397	2.91809E-05	9.85881	0.106301	0.518637	8.42069	8.6041	0.00515032	0.0555406	6.80518	0.259964	0.113839	0.00273809
21	0.00922836	0.000939321	1.61498E-05	0.00396649	2.6431	0.262964	2.86193	8.12737E-06	28.2064	257892	0.00977731	0.0787772	1.17816E-19	15.7199	1.13635	0.081751	2.27957	0.691709	8.52817E-05	162.841	34204.2	192.156	0.210418	1.75203E-05	8.23021	0.103432	0.501219	8.42019	10.0471	0.00209477	0.0348722	6.86243	0.260103	0.111731	0.0026865
22	0.00925059	0.000935351	1.00254E-05	0.00245968	2.64468	0.27959	2.78802	8.69032E-06	30.7425	258049	0.00467872	0.0578279	1.03561E-19	14.1979	1.11231	0.0719497	2.2087	0.692085	2.51626E-05	162.04	33682.9	173.826	0.210437	1.089E-05	6.53509	0.0917451	0.490699	8.41967	11.4029	0.000838707	0.0206575	6.89699	0.260243	0.123315	0.00244237
